graph,method,metric,value,timestamp,database,subset,min_cov_ignored,run_id
$S_\text{Off-3}$,denormalized,$\mu_1$: NodeCount,2016523.0,2026-04-28 20:12:35.238546220,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,denormalized,$\mu_2$: EdgeCount,3339267.0,2026-04-28 20:12:35.238546220,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,denormalized,$\mu_3$: AvgNodePropCount,9.861892971218284,2026-04-28 20:12:35.238546220,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,denormalized,$\mu_4$: AvgEdgePropCount,3.2509934066367396,2026-04-28 20:12:35.238546220,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,edge-left,$\mu_1$: NodeCount,2016523.0,2026-04-28 20:12:35.240245245,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,edge-left,$\mu_2$: EdgeCount,3339267.0,2026-04-28 20:12:35.240245245,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,edge-left,$\mu_3$: AvgNodePropCount,9.861892971218284,2026-04-28 20:12:35.240245245,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,edge-left,$\mu_4$: AvgEdgePropCount,3.2509934066367396,2026-04-28 20:12:35.240245245,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,denormalized,$\mu_1$: NodeCount,4.0,2026-04-28 20:13:23.690252422,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,denormalized,$\mu_2$: EdgeCount,3.0,2026-04-28 20:13:23.690252422,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,denormalized,$\mu_3$: AvgNodePropCount,1.25,2026-04-28 20:13:23.690252422,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,denormalized,$\mu_4$: AvgEdgePropCount,2.0,2026-04-28 20:13:23.690252422,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,all,$\mu_1$: NodeCount,4.0,2026-04-28 20:13:23.877210316,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Uni-1}$,all,$\mu_2$: EdgeCount,3.0,2026-04-28 20:13:23.877210316,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
